Año,Lenguaje,Enero,Febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
2013,Python,4.17%,4.95%,4.39%,4.44%,4.32%,4.18%,4.03%,3.60%,3.17%,3.11%,3.11%,2.21%
2013,C++,9.14%,8.76%,9.11%,9.71%,9.20%,8.82%,9.23,9.37%,8.66%,8.66%,8.37%,8.27%
2013,Java,17.99%,17.40%,18.39%,17.68%,16.91%,16.66%,15.91%,15.98%,16.15%,16.11%,16.52%,17.31%
2013,C,17.85%,17.08%,17.14%,17.86%,18.73%,17.81%,17.63%,15.97%,16.98%,17.25%,18.16%,17.89%
2013,C#,6.20%,6.68%,6.60%,6.15%,6.12%,5.78%,6.21%,6.12%,5.56%,5.72%,6.02%,5.62%
2013,JavaScript,1.98%,1.42%,1.37%,1.51%,1.54%,1.65%,1.84%,2.09%,2.01%,2.05%,1.85%,1.58%
2013,Go,0.12%,0.11%,0.12%,0.11%,0.11%,0.11%,0.22%,0.51%,0.22%,0.19%,0.21%,0.26%
2013,Fortran,0.46%,0.46%,0.45%,0.41%,0.42%,0.41%,0.41%,0.41%,0.54%,0.47%,0.48%,0.39%
2013,Visual Bassic,1.04%,1.01%,0.89%,1.10%,1.13%,1.07%,1.25%,1.32%,1.84%,1.93%,1.97%,1.69%
2013,SQL,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%
