Año,Lenguaje,Enero,Febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
2015,Python,2.61%,2.88%,2.61%,2.69%,3.72%,4%,4.26%,4.07%,3.66%,4.51%,3.77%,4.43%
2015,C++,6.70%,6.61%,6.64%,6.96%,7.85%,7.76%,8.64%,7.74%,6.78%,5.75%,6.20%,5.94%
2015,Java,15.53%,15.34%,15.58%,16.04%,17.82%,17.73%,19.27%,19.35%,19.56%,19.99%,20.40%,20.97%
2015,C,16.70%,16.49%,16.64%,15.75%,16.85%,16.79%,16.15%,14.73%,15.62%,16.19%,17.15%,16.46%
2015,C#,5.05%,5.74%,4.92%,4.05%,5.26%,5.05%,5.65%,4.84%,4.91%,4.82%,4.32%,4.11%
2015,JavaScript,3.63%,3.63%,3.30%,3.13%,2.30%,2.16%,2.34%,2.29%,2.47%,2.36%,2.57%,2.20%
2015,Go,0.10%,0.30%,0.26%,0.30%,0.03%,0.06%,0.06%,0.08%,0.25%,0.14%,0.20%,0.19%
2015,Fortran,0.27%,0.54%,0.61%,0.60%,0.62%,0.58%,0.77%,0.85%,0.89%,0.84%,0.83%,0.82%
2015,Visual Bassic,1.07%,1.72%,1.95%,2.20%,1.89%,1.84%,1.95%,1.78%,1.53%,1.51%,1.68%,1.65%
2015,SQL,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%
