Año,Lenguaje,Enero,Febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
2017,Python,3.46%,4.04%,3.92%,3.46%,3.55%,4.33%,3.54%,3.69%,2.98%,3.80%,4.48%,3.78%
2017,C++,6.30%,5.43%,5.18%,4.55%,5.23%,5.72%,5.58%,5.55%,5.56%,5.01%,5.34%,4.72%
2017,Java,17.28%,16.68%,16.38%,15.57%,14.64%,14.49&,13.77%,12.96%,12.69%,12.43%,13.23%,13.27%
2017,C,9.35%,8.44%,7.74%,6.97%,7%,6.85%,7.32%,6.48%,7.38%,8.37%,9.29%,10.16%
2017,C#,4.04%,4.90%,4.41%,3.58%,3.46%,3.53%,5.52%,4.20%,4.78%,3.86%,3.01%,2.82%
2017,JavaScript,2.85%,2.87%,2.67%,2.85%,3.07%,3.02%,2.62%,2.02%,2.10%,3.01%,3.30%,3.33%
2017,Go,2.33%,2.10%,1.98%,1.97%,2.08%,2.04%,2.36%,1.65%,1.57%,1.36%,1.57%,1.39%
2017,Fortran,0.74%,0.83%,0.74%,0.80%,0.76%,0.78%,0.86%,0.67%,0.88%,1%,0.67%,0.66%
2017,Visual Bassic,1.91%,1.88%,2.01%,2.06%,2.35%,2.01%,2.10%,1.81%,1.75%,1.42%,1.49%,1.35%
2017,SQL,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%
